Sr,Words,P.O.S,Level,Nepali Word
169,as,"prep., Adverb conj.","A1, A2",रूपमा
170,ashamed,Adjective,B2,लज्जित
171,asleep,Adjective,A2,सुतेको
172,ask,Verb,A1,सोध्नु
173,aspect,Noun,B2,पक्ष
174,assess,Verb,B2,आकलन
175,assessment,Noun,B2,मूल्यांकन
176,assignment,Noun,B1,जिम्मेवारी
177,assist,Verb,B1,सहयोग
178,assistant,Noun Adjective,A2,सहायक
179,associate,Verb,B2,एसोसिएट
180,associated,Adjective,B2,सम्बद्ध
181,association,Noun,B2,संघ
182,assume,Verb,B2,मान
183,at,prep.,A1,मा
184,athlete,Noun,A2,खेलाडी
185,atmosphere,Noun,B1,वातावरण
186,attach,Verb,B1,संलग्न
187,attack,Noun Verb,A2,आक्रमण
188,attempt,Noun Verb,B2,प्रयास
189,attend,Verb,A2,उपस्थित
190,attention,Noun exclam.,A2,ध्यान
191,attitude,Noun,B1,मनोवृत्ति
192,attract,Verb,B1,आकर्षित
193,attraction,Noun,B1,आकर्षण
194,attractive,Adjective,A2,आकर्षक
195,audience,Noun,A2,दर्शक
196,August,Noun,A1,अगस्ट
197,aunt,Noun,A1,चाची
198,author,Noun,A2,लेखक
199,authority,Noun,B1,अख्तियार
200,autumn,Noun,A1,शरद ऋतु
201,available,Adjective,A2,उपलब्ध
202,average,"Adjective, Noun Verb","A2, B1",औसत
203,avoid,Verb,A2,जोगिन
204,award,Noun Verb,"A2, B1",पुरस्कार
205,aware,Adjective,B1,सचेत
206,away,Adverb,A1,टाढा
207,awful,Adjective,A2,डरलाग्दो
208,baby,Noun,A1,बच्चा
209,back,"Noun AdVerb Adjective, Verb","A1, A2, B2",फिर्ता
210,background,Noun,A2,पृष्ठभूमि
211,backwards,Adverb,B1,पछिल्तिर
212,bacteria,Noun,B2,जीवाणुहरु
213,bad,Adjective,A1,खराब
214,badly,Adverb,A2,नराम्ररी
215,bag,Noun,A1,झोला
216,bake,Verb,B1,पाक्नु
217,balance,Noun Verb,B1,ब्यालेन्स
218,ball,Noun,A1,बल
219,ban,Verb Noun,B1,प्रतिबन्ध
220,banana,Noun,A1,केले
221,band,Noun,A1,ब्यान्ड
222,bank (money),Noun,A1,बैंक (पैसा)
223,bank (river),Noun,B1,बैंक (नदी)
224,bar,Noun Verb,"A2, B2",बार
225,barrier,Noun,B2,बाधा
226,base,Noun Verb,B1,आधार
227,baseball,Noun,A2,बेसबल
228,based,Adjective,A2,आधारित
229,basketball,Noun,A2,बास्केटबल
230,basic,Adjective,B1,आधारभूत
231,basically,Adverb,B2,मूलतः
232,basis,Noun,B1,आधार
233,bath,Noun,A1,स्नान
234,bathroom,Noun,A1,बाथरूम
235,battery,Noun,B1,ब्याट्री
236,battle,Noun Verb,"B1, B2",युद्धमा
237,be,Verb auxiliary Verb,A1,हुन
238,beach,Noun,A1,समुद्र तट
239,bean,Noun,A2,सेम
240,bear (deal with),Verb,B2,भालु (सामना)
241,bear (animal),Noun,A2,भालु (पशु)
242,beat,Verb Noun,"A2, B2",बिट
243,beautiful,Adjective,A1,सुन्दर
244,beauty,Noun,B1,सौन्दर्य
245,because,conj.,A1,किनभने
246,become,Verb,A1,बन्न
247,bed,Noun,A1,ओछ्यानमा
248,bedroom,Noun,A1,बेडरूम
249,bee,Noun,B1,मौरी
250,beef,Noun,A2,मासु
251,beer,Noun,A1,बियर
252,before,"prep., conj. Adverb","A1, A2",पहिले
253,beg,Verb,B2,बिन्ती गर्नु
254,begin,Verb,A1,सुरु
255,beginning,Noun,A1,सुरुमा
256,behave,Verb,A2,व्यवहार
257,behaviour,Noun,A2,व्यवहार
258,behind,prep. Adverb,A1,पछि
259,being,Noun,B2,जा
260,belief,Noun,B1,विश्वास
261,believe,Verb,A1,विश्वास
262,bell,Noun,B1,घण्टी
263,belong,Verb,A2,सम्बन्धित
264,below,Adverb prep.,A1,तल
265,belt,Noun,A2,बेल्ट
266,bend,Verb Noun,B1,बाङ्गो
267,benefit,Verb NouNoun,"A2, B1",लाभ
268,bent,Adjective,B2,झुकेको
269,best,"Adjective, AdVerb Noun","A1, A2",सबै भन्दा राम्रो
270,bet,Verb Noun,B2,शर्त
271,better,"Adjective , Adverb , Noun","A1, A2, B1",राम्रो
272,between,"prep., Adverb","A1, A2",बीच
273,beyond,prep. Adverb,B2,बाहिर
274,bicycle,Noun,A1,साइकल
275,big,Adjective,A1,ठूलो
276,bike,Noun,A1,बाइक
277,bill,Noun Verb,"A1, B2",बिल
278,billion number,,A2,अरब नम्बर
279,bin,Noun,A2,बिन
280,biology,Noun,A2,जीव
281,bird,Noun,A1,चरा
282,birth,Noun,A2,जन्म
283,birthday,Noun,A1,जन्मदिन
284,biscuit,Noun,A2,बिस्कुट
285,bit,Noun,A2,बिट
286,bite,Verb Noun,B1,दु: ख
287,bitter,Adjective,B2,तीतो
288,black,"Adjective, Noun",A1,कालो
289,blame,Verb Noun,B2,दोष
290,blank,"Adjective, Noun",A2,खाली
291,blind,Adjective,B2,अन्धो
292,block,Noun Verb,B1,ब्लक
293,blog,Noun,A1,ब्लग
294,blonde,Adjective,A1,गोरा
295,blood,Noun,A2,रगत
296,blow,Verb,A2,झटका
297,blue,"Adjective, Noun",A1,नीलो
298,board,Noun Verb,"A2, B1",बोर्ड
299,boat,Noun,A1,डुङ्गा
300,body,Noun,A1,जीउ
301,boil,Verb,A2,जोश
302,bomb,Noun Verb,B1,बम
303,bond,Noun,B2,बन्धन
304,bone,Noun,A2,हड्डी
305,book,Noun Verb,"A1, A2",पुस्तक
306,boot,Noun,A1,बुट
307,border,Noun Verb,"B1, B2",सीमा
308,bored,Adjective,A1,नरमाइलो
309,boring,Adjective,A1,नीरस
310,born,Verb,A1,जन्म
311,borrow,Verb,A2,उधारो
312,boss,Noun,A2,मालिक
313,both,det./proNoun,A1,दुवै
314,bother,Verb,B1,चिन्ता
315,bottle,Noun,A1,बोतल
316,bottom,NouNoun Adjective,A2,तल
317,bowl,Noun,A2,कचौरा
318,box,Noun,A1,बक्स
319,boy,Noun,A1,केटा
320,boyfriend,Noun,A1,प्रेमी
321,brain,Noun,A2,मस्तिष्क
322,branch,Noun,B1,साखा
323,brand,Noun Verb,B1,ब्रान्ड
324,brave,Adjective,B1,साहसी
325,bread,Noun,A1,रोटी
326,break,Verb Noun,A1,ब्रेक
327,breakfast,Noun,A1,नास्ता
328,breast,Noun,B2,स्तन
329,breath,Noun,B1,सास
330,breathe,Verb,B1,सास फेर्न
331,breathing,Noun,B1,साँस
332,bride,Noun,B1,दुलही
333,bridge,Noun,A2,पुल
334,brief,Adjective,B2,संक्षिप्त
335,bright,Adjective,A2,उज्ज्वल
336,brilliant,Adjective,A2,शानदार
337,bring,Verb,A1,ल्याउन
338,broad,Adjective,B2,व्यापक
339,broadcast,Verb Noun,B2,प्रसारण
340,broken,Adjective,A2,भङ्ग
341,brother,Noun,A1,भाइ
342,brown,"Adjective, Noun",A1,खैरो
343,brush,Verb Noun,A2,ब्रश
344,bubble,Noun,B1,बबल
345,budget,Noun,B2,बजेट
346,build,Verb,A1,गठन
347,building,Noun,A1,भवन
348,bullet,Noun,B2,बुलेट
349,bunch,Noun,B2,गुच्छा
350,burn,Verb Noun,"A2, B2",बाल्न
351,bury,Verb,B1,मुर्दा गाड्नु
352,bus,Noun,A1,बस
353,bush,Noun,B2,झाडी
354,business,Noun,A1,व्यापार
355,businessman,Noun,A2,व्यापारी
356,busy,Adjective,A1,व्यस्त
357,but,conj. prep,"A1, B2",तर
358,butter,Noun,A1,मक्खन
359,button,Noun,A2,टांक
360,buy,Verb,A1,खरीद
361,by,prep. Adverb,"A1, B1",द्वारा
362,bye,exclam,A1,बिदाई
363,cable,Noun,B2,केबल
364,cafe,Noun,A1,क्याफे
365,cake,Noun,A1,केक
366,calculate,Verb,B2,Calculate
367,call,Verb Noun,A1,कल
368,calm,Adjective Verb Noun,B1,शान्त
369,camera,Noun,A1,क्यामेरा
370,camp,Noun Verb,A2,शिविरमा
371,campaign,Noun Verb,B1,अभियान
372,camping,Noun,A2,शिविर
373,campus,Noun,B1,क्याम्पस
374,can1,modal Verb,A1,can1
375,can2,Noun,A2,CAN2
376,cancel,Verb,B2,रद्द
377,cancer,Noun,B2,क्यान्सर
378,candidate,Noun,B1,उम्मेदवार
379,cannot,Verb,A1,सकदिन
380,cap,Noun,B1,टोपी
381,capable,Adjective,B2,सक्षम
382,capacity,Noun,B2,क्षमता
383,capital,Noun Adjective,A1,राजधानी
384,captain,Noun,B1,कप्तान
385,capture,Verb Noun,B2,कब्जा
386,car,Noun,A1,कार
387,card,Noun,A1,कार्ड
388,care,Noun Verb,A2,हेरविचार
389,career,Noun,A1,क्यारियर
390,careful,Adjective,A2,होसियार
391,carefully,Adverb,A2,ध्यान दिएर
392,careless,Adjective,B1,लापरवाह
393,carpet,Noun,A2,गलैँचा
394,carrot,Noun,A1,गाजर
395,carry,Verb,A1,लैजाने
396,cartoon,Noun,A2,कार्टून
397,case,Noun,A2,मामला
398,cash,Noun,A2,नगद
399,cast,Noun Verb,B2,जात
400,castle,Noun,A2,महल
401,cat,Noun,A1,बिरालो
402,catch,Verb Noun,"A2, B2",क्याच
403,category,Noun,B1,वर्ग
404,cause,Noun Verb,A2,कारण
405,CD,Noun,A1,सीडी
406,ceiling,Noun,B1,छत
407,celebrate,Verb,A2,मनाउन
408,celebration,Noun,B1,उत्सव
409,celebrity,Noun,A2,सेलिब्रिटी
410,cell,Noun,B2,सेल
411,cent,Noun,A1,प्रतिशत
412,central,Adjective,B1,केन्द्रीय
413,centre,Noun Verb,"A1, B1",केन्द्र
414,century,Noun,A1,सताब्दी
415,ceremony,Noun,B1,समारोह
416,certain,Adjective,A2,केही
417,certainly,Adverb,A2,पक्कै पनि
418,chain,Noun Verb,"B1, B2",श्रृंखला
419,chair,Noun Verb,"A1, B2",कुर्सी
420,chairman,Noun,B2,अध्यक्ष
421,challenge,Noun Verb,"B1, B2",चुनौती
422,champion,Noun,B1,च्याम्पियन
423,chance,Noun,A2,मौका
424,change,Verb Noun,A1,परिवर्तन
425,channel,Noun,B1,च्यानल
426,chapter,Noun,B1,अध्याय
427,character,Noun,A2,वर्ण
428,characteristic,Noun Adjective,B2,विशेषता
429,charge,Noun Verb,B1,शुल्क
430,charity,Noun,A2,दान
431,chart,Noun Verb,"A1, B2",चार्ट
432,chat,Verb Noun,A2,कुराकानी
433,cheap,"Adjective , Adverb","A1, B1",सस्तो
434,cheat,Verb Noun,B1,धोखा
435,check,Verb Noun,"A1, A2",जाँच
436,chef,Noun,A2,महाराज
437,cheerful,Adjective,B1,हँसमुख
438,cheese,Noun,A1,पनीर
439,chemical,"Adjective, Noun",B1,रासायनिक
440,chemistry,Noun,A2,रसायन
441,chest,Noun,B1,छाती
442,chicken,Noun,A1,चिकन
443,chief,"Adjective, Noun",B2,मुख्य
444,child,Noun,A1,बच्चा
445,childhood,Noun,B1,बाल्यकाल
446,chip,Noun,A2,चिप
447,chocolate,Noun,A1,चकलेट
448,choice,Noun,A2,विकल्प
449,choose,Verb,A1,छनौट
450,church,Noun,A2,चर्च
451,cigarette,Noun,A2,चुरोट
452,cinema,Noun,A1,सिनेमा
453,circle,Noun Verb,A2,गोलाकार
454,circumstance,Noun,B2,परिस्थितिमा
455,cite,Verb,B2,उद्धृत
456,citizen,Noun,B2,नागरिक
457,city,Noun,A1,शहर
458,civil,Adjective,B2,नागरिक
459,claim,Verb Noun,B1,दावी
460,class,Noun,A1,वर्ग
461,classic,"Adjective, Noun",B2,क्लासिक
462,classical,Adjective,A2,शास्त्रीय
463,classroom,Noun,A1,कक्षा
464,clause,Noun,B1,परिच्छेद
465,clean,"Adjective, Verb",A1,सफा
466,clear,"Adjective, Verb","A2, B1",स्पष्ट
467,clearly,Adverb,A2,स्पष्ट
468,clever,Adjective,A2,चतुर
469,click,Verb Noun,B1,क्लिक
470,client,Noun,B1,ग्राहक
471,climate,Noun,A2,जलवायु
472,climb,Verb Noun,"A1, B1",चढ्नु
473,clock,Noun,A1,घडी
474,close1,Verb Noun,"A1, B2",close1
475,close2,"Adjective , Adverb","A2, B1",close2
476,closed,Adjective,A2,बन्द
477,closely,Adverb,B2,राम्ररी
478,cloth,Noun,B1,कपडा
479,clothes,Noun,A1,लुगा
480,clothing,Noun,A2,वस्त्र
481,cloud,Noun,A2,बादल
482,club,Noun,A1,क्लब
483,clue,Noun,B1,सुत्र
484,coach,Noun Verb,"A2, B1",कोच
485,coal,Noun,B1,कोइला
486,coast,Noun,A2,तट
487,coat,Noun,A1,कोट
488,code,Noun,A2,कोड
489,coffee,Noun,A1,कफी
490,coin,Noun,B1,सिक्का
491,cold,Adjective Noun,A1,चिसो
492,collapse,Verb Noun,B2,पतन
493,colleague,Noun,A2,सहयोगी
494,collect,Verb,A2,सङ्कलन
495,collection,Noun,B1,संग्रह
496,college,Noun,A1,कलेज
497,colour,Noun,A1,रंग
498,coloured,Adjective,B1,रंग
499,column,Noun,A2,स्तम्भ
500,combination,Noun,B2,संयोजन
501,combine,Verb,B1,संयोजन
502,come,Verb,A1,आउनुहोस्
503,comedy,Noun,A2,कमेडी
504,comfort,Noun Verb,B2,सान्त्वना
505,comfortable,Adjective,A2,सहज
506,command,Noun Verb,B2,आदेश
507,comment,Noun Verb,"A2, B1",टिप्पणी
508,commercial,Adjective Noun,B1,व्यावसायिक
509,commission,Noun Verb,B2,आयोग
510,commit,Verb,B1,प्रतिबद्ध
511,commitment,Noun,B2,प्रतिबद्धता
512,committee,Noun,B2,समिति
513,common,Adjective Noun,A1,साधारण
514,commonly,Adverb,B2,सामान्यतः
515,communicate,Verb,A2,कुराकानी
516,communication,Noun,B1,संचार
517,community,Noun,A2,समुदाय
518,company,Noun,A1,कम्पनी
519,compare,Verb,A1,तुलना
520,comparison,Noun,B1,तुलना
521,compete,Verb,A2,प्रतिस्पर्धा
522,competition,Noun,A2,प्रतियोगिता
523,competitor,Noun,B1,प्रतियोगी
524,competitive,Adjective,B1,प्रतिस्पर्धी
525,complain,Verb,A2,गुनासो
526,complaint,Noun,B1,उजुरी
527,complete,Adjective Verb,A1,पूरा
528,completely,Adverb,A2,पूर्ण
529,complex,"Adjective, Noun","B1, B2",जटिल
530,complicated,Adjective,B2,जटिल
531,component,Noun,B2,घटक
532,computer,Noun,A1,कम्प्युटर
533,concentrate,Verb,B1,ध्यान
534,concentration,Noun,B2,एकाग्रता
535,concept,Noun,B2,अवधारणा
536,concern,Noun Verb,B2,चासो
537,concerned,Adjective,B2,फिक्री
538,concert,Noun,A1,कन्सर्ट
539,conclude,Verb,B1,निष्कर्षमा पुग्न
540,conclusion,Noun,B1,निष्कर्षमा
541,condition,Noun,A2,अवस्था
542,conduct,Verb Noun,B2,आचरण
543,conference,Noun,A2,सम्मेलन
544,confidence,Noun,B2,निर्धक्क
545,confident,Adjective,B1,विश्वस्त
546,confirm,Verb,B1,पुष्टि
547,conflict,Noun Verb,B2,द्वन्द्व
548,confuse,Verb,B1,भ्रममा
549,confused,Adjective,B1,भ्रमित
550,confusing,Adjective,B2,भ्रमित
551,connect,Verb,A2,जडान
552,connected,Adjective,A2,जडान
553,connection,Noun,B1,जडान
554,conscious,Adjective,B2,सचेत
555,consequence,Noun,B1,फलतः
556,conservative,"Adjective, Noun",B2,रूढिवादी
557,consider,Verb,A2,विचार
558,consideration,Noun,B2,विचार
559,consist,Verb,B1,समावेश
560,consistent,Adjective,B2,लगातार
561,constant,Adjective,B2,स्थिर
562,constantly,Adverb,B2,निरन्तर
563,construct,Verb,B2,निर्माण
564,construction,Noun,B2,निर्माण
565,consume,Verb,B1,उपभोग
566,consumer,Noun,B1,उपभोक्ता
567,contact,Noun Verb,B1,सम्पर्क
568,contain,Verb,A2,समावेश
569,container,Noun,B1,कन्टेनर
570,contemporary,Adjective,B2,समकालीन
571,content,Noun,B1,सामग्री
572,contest,Noun Verb,B2,प्रतियोगिता
573,context,Noun,A2,सन्दर्भ
574,continent,Noun,A2,महादेशमा
575,continue,Verb,A2,जारी
576,continuous,Adjective,B1,लगातार
577,contract,Noun Verb,B2,सम्झौता
578,contrast,Noun Verb,B1,यसको विपरीत
579,contribute,Verb,B2,योगदान
580,contribution,Noun,B2,योगदान
581,control,Noun Verb,A2,नियन्त्रण
582,convenient,Adjective,B1,सुविधाजनक
583,conversation,Noun,A1,कुराकानी
584,convert,Verb,B2,परिवर्तित
585,convince,Verb,B1,विश्वस्त
586,convinced,Adjective,B2,विश्वस्त
587,cook,Verb Noun,"A1, A2",कुक
588,cooker,Noun,A2,कुकर
589,cooking,Noun,A1,खाना पकाउने
590,cool,"Adjective, Verb","A1, B1",सुन्दर
591,copy,Noun Verb,A2,कापी
592,core,Noun Adjective,B2,कोर
593,corner,Noun,A2,कुना
594,corporate,Adjective,B2,कर्पोरेट
595,correct,Adjective Verb,A1,सही
596,correctly,Adverb,A2,सही
597,cost,Noun Verb,A1,लागत
598,costume,Noun,B1,पोशाक
599,cottage,Noun,B1,घरेलु
600,cotton,Noun,B1,कपास
601,could,Verb,A1,सकेजति
602,council,Noun,B2,परिषद
603,count,Verb Noun,"A2, B1",गणना
604,country,Noun,A1,देश
605,countryside,Noun,B1,देहात
606,county,Noun,B2,काउन्टी
607,couple,Noun,A2,जोडी
608,courage,Noun,B2,साहस
609,course,Noun,A1,पाठ्यक्रम
610,court,Noun,B1,अदालत
611,cousin,Noun,A1,भान्जा
612,cover,Verb Noun,"A2, B1",आवरण
613,covered,Adjective,B1,ढाकिएको
614,cow,Noun,A1,गाई
615,crash,Noun Verb,B2,दुर्घटना
616,crazy,Adjective,A2,पागल
617,cream,Noun Adjective,"A1, B1",तर
618,create,Verb,A1,सिर्जना
619,creation,Noun,B2,सिर्जना
620,creative,Adjective,A2,रचनात्मक
621,creature,Noun,B2,जीव
622,credit,Noun Verb,"A2, B2",क्रेडिट
623,crew,Noun,B2,चालक दल
624,crime,Noun,A2,अपराध
625,criminal,Noun Adjective,"A2, B1",आपराधिक
626,crisis,Noun,B2,संकट
627,criterion,Noun,B2,मापदण्ड
628,critic,Noun,B2,आलोचक
629,critical,Adjective,B2,महत्वपूर्ण
630,criticism,Noun,B2,आलोचना
631,criticize,Verb,B2,आलोचना
632,crop,Noun,B2,क्रप
633,cross,Verb Noun,A2,पार
634,crowd,Noun,A2,भीड
635,crowded,Adjective,A2,भीड
636,crucial,Adjective,B2,महत्वपूर्ण
637,cruel,Adjective,B1,क्रूर
638,cry,Verb Noun,"A2, B2",कराउँदै
639,cultural,Adjective,B1,सांस्कृतिक
640,culture,Noun,A1,संस्कृति
641,cup,Noun,A1,कप
642,cupboard,Noun,A2,अल्मारी
643,cure,Verb Noun,B2,उपचार
644,curly,Adjective,A2,घुम्रेको
645,currency,Noun,B1,मुद्रा
646,current,"Adjective, Noun","B1, B2",वर्तमान
647,currently,Adverb,B1,हाल
648,curtain,Noun,B1,पर्दा
649,curve,Noun Verb,B2,वक्र
650,curved,Adjective,B2,बाङ्गो
651,custom,Noun,B1,अनुकूलन
652,customer,Noun,A1,ग्राहक
653,cut,"Verb , Noun","A1, B1",कट
654,cycle,Noun Verb,"A2, B1",चक्र
655,dad,Noun,A1,पिताजी
656,daily,"Adjective, Adverb","A2, B1",दैनिक
657,damage,Noun Verb,B1,क्षति
658,dance,Noun Verb,A1,नृत्य
659,dancer,Noun,A1,नर्तक
660,dancing,Noun,A1,नृत्य
661,danger,Noun,A2,खतरा
662,dangerous,Adjective,A1,खतरनाक
663,dark,"Adjective, Noun","A1, A2",गाढा
664,data,Noun,A2,डाटा
665,date,Noun Verb,"A1, B2",मिति
666,daughter,Noun,A1,छोरी
667,day,Noun,A1,दिन
668,dead,Adjective,A2,मृत
669,deal,Verb Noun,"A2, B1",सम्झौता
670,dear,"Adjective, exclam","A1, A2",प्रिय
671,death,Noun,A2,मृत्यु
672,debate,Noun Verb,B2,बहस
673,debt,Noun,B2,ऋण
674,decade,Noun,B1,दशक
675,December,Noun,A1,डिसेम्बर
676,decent,Adjective,B2,सभ्य
677,decide,Verb,A1,निर्णय
678,decision,Noun,A2,निर्णय
679,declare,Verb,B2,घोषणा
680,decline,Verb Noun,B2,गिरावट
681,decorate,Verb,B1,सजाने
682,decoration,Noun,B2,सजावट
683,decrease,Verb Noun,B2,कमी
684,deep,"Adjective, Adverb","A2, B1",गहिरो
685,deeply,Adverb,B2,गहिरो
686,defeat,Verb Noun,B2,हार
687,defence,Noun,B2,रक्षा
688,defend,Verb,B2,रक्षा
689,define,Verb,B1,परिभाषित
690,definite,Adjective,B1,निश्चित
691,definitely,Adverb,A2,निश्चित
692,definition,Noun,B1,परिभाषा
693,degree,Noun,A2,डिग्री
694,delay,Verb Noun,B2,ढिला
695,deliberate,Adjective,B2,जानिजानि
696,deliberately,Adverb,B2,जानाजानी
697,delicious,Adjective,A1,स्वादिष्ट
698,delight,Verb Noun,B2,आनन्द
699,delighted,Adjective,B2,खुसी
700,deliver,Verb,B1,उद्धार
